Name,ID,Donor,Family,Species
OTSA_KLEP7,A6TB47,UDP-alpha-D-glucose,20, Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578).
UGTP_STAA2,A6U0C2,UDP-alpha-D-glucose,28, Staphylococcus aureus (strain JH1).
UGTP_BACCN,A7GKY0,UDP-alpha-D-glucose,28, Bacillus cytotoxicus (strain DSM 22905 / CIP 110041 / 391-98 / NVH 391-98).
GYS1_BOVIN,A7MB78,UDP-alpha-D-glucose,3, Bos taurus (Bovine).
OTSA_CROS8,A7MEE9,UDP-alpha-D-glucose,20, Cronobacter sakazakii (strain ATCC BAA-894) (Enterobacter sakazakii).
MFPS_AGRFC,A7TZT2,GDP-alpha-D-mannose,4, Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58)).
UGTP_STAA1,A7X0P5,UDP-alpha-D-glucose,28, Staphylococcus aureus (strain Mu3 / ATCC 700698).
OTSA_ECO24,A7ZN22,UDP-alpha-D-glucose,20, Escherichia coli O139:H28 (strain E24377A / ETEC).
OTSA_ECOHS,A8A1A0,UDP-alpha-D-glucose,20, Escherichia coli O9:H4 (strain HS).
OTSA_CITK8,A8AFD4,UDP-alpha-D-glucose,20, Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696).
UGTP_BACP2,A8FED1,UDP-alpha-D-glucose,28, Bacillus pumilus (strain SAFR-032).
UGTP_STAAT,A8Z0C1,UDP-alpha-D-glucose,28, Staphylococcus aureus (strain USA300 / TCH1516).
MGGA_PETMO,A9BHJ0,GDP-alpha-D-mannose,4, Petrotoga mobilis (strain DSM 10674 / SJ95).
OTSA_SALAR,A9MMQ2,UDP-alpha-D-glucose,20, Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980).
OTSA_SALPB,A9MU86,UDP-alpha-D-glucose,20, Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7).
UGTP_BACMK,A9VSQ8,UDP-alpha-D-glucose,28, Bacillus mycoides (strain KBAB4) (Bacillus weihenstephanensis).
OTSA_ECOLC,B1J0J4,UDP-alpha-D-glucose,20, Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks).
OTSA_ECOSM,B1LQW0,UDP-alpha-D-glucose,20, Escherichia coli (strain SMS-3-5 / SECEC).
OTSA_ECODH,B1X658,UDP-alpha-D-glucose,20, Escherichia coli (strain K12 / DH10B).
OTSA_MYCMM,B2HHY2,UDP-alpha-D-glucose,20, Mycobacterium marinum (strain ATCC BAA-535 / M).
85A19_PRUDU,B2XBQ5,UDP-alpha-D-glucose,1, Prunus dulcis (Almond) (Amygdalus dulcis).
NGT_ACTP7,B3H2N2,UDP-alpha-D-glucose,41, Actinobacillus pleuropneumoniae serotype 7 (strain AP76).
88F1G_MALDO,B3TKC8,UDP-alpha-D-glucose,1, Malus domestica (Apple) (Pyrus malus).
U91D2_STERE,B3VI56,UDP-alpha-D-glucose,1, Stevia rebaudiana (Stevia) (Eupatorium rebaudianum).
WCLR_ECOLX,B5T072,UDP-alpha-D-galactose,4, Escherichia coli.
SPSA2_ORYSJ,B7F7B9,UDP-alpha-D-glucose,4, Oryza sativa subsp. japonica (Rice).
UGTP_BACC4,B7H9Q4,UDP-alpha-D-glucose,28, Bacillus cereus (strain B4264).
UGTP_BACC7,B7HU46,UDP-alpha-D-glucose,28, Bacillus cereus (strain AH187).
UGTP_BACC2,B7IW03,UDP-alpha-D-glucose,28, Bacillus cereus (strain G9842).
UGTP_BACC0,B7JNE4,UDP-alpha-D-glucose,28, Bacillus cereus (strain AH820).
UGTP_STACT,B9DQ98,UDP-alpha-D-glucose,28, Staphylococcus carnosus (strain TM300).
UGTP_BACCQ,B9J2U2,UDP-alpha-D-glucose,28, Bacillus cereus (strain Q1).
UGTP_BACC3,C1EWE6,UDP-alpha-D-glucose,28, Bacillus cereus (strain 03BB102).
UGTP_BACAC,C3LHC1,UDP-alpha-D-glucose,28, Bacillus anthracis (strain CDC 684 / NRRL 3495).
UGTP_BACAA,C3PCX2,UDP-alpha-D-glucose,28, Bacillus anthracis (strain A0248).
U88F2_PYRCO,D3UAG3,UDP-alpha-D-glucose,1, Pyrus communis (Pear) (Pyrus domestica).
SGT2_SOYBN,D4Q9Z4,UDP-alpha-D-galactose,1, Glycine max (Soybean) (Glycine hispida).
SGT3_SOYBN,D4Q9Z5,UDP-beta-L-rhamnose,1, Glycine max (Soybean) (Glycine hispida).
PIMA_PROFC,D7GDZ9,GDP-alpha-D-mannose,4, Propionibacterium freudenreichii subsp. shermanii (strain ATCC 9614 / DSM 4902 / CIP 103027 / NCIMB 8099 / CIRM-BIA1).
OTSA_SALTS,E1WGG8,UDP-alpha-D-glucose,20, Salmonella typhimurium (strain SL1344).
UGT9_GARJA,F8WKW8,UDP-alpha-D-glucose,1, Gardenia jasminoides (Cape jasmine) (Gardenia augusta).
UGT6_CATRO,F8WLS6,UDP-alpha-D-glucose,1, Catharanthus roseus (Madagascar periwinkle) (Vinca rosea).
UD2B9_MACFA,O02663,UDP-alpha-D-glucuronate,1, Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey).
SPSA1_CRAPL,O04932,UDP-alpha-D-glucose,4, Craterostigma plantagineum (Blue gem) (Torenia plantagineum).
SPSA2_CRAPL,O04933,UDP-alpha-D-glucose,4, Craterostigma plantagineum (Blue gem) (Torenia plantagineum).
PIMA_MYCLE,O07147,GDP-alpha-D-mannose,4, Mycobacterium leprae (strain TN).
ALG1_SCHPO,O13933,GDP-alpha-D-mannose,33, Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).
TPSX_SCHPO,O14081,UDP-alpha-D-glucose,20, Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).
UDB16_RABIT,O19103,UDP-alpha-D-glucuronate,1, Oryctolagus cuniculus (Rabbit).
SPSA1_CITUN,O22060,UDP-alpha-D-glucose,4, Citrus unshiu (Satsuma mandarin) (Citrus nobilis var. unshiu).
U74F1_ARATH,O22820,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
U84A4_ARATH,O23402,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
UDB20_MACFA,O77649,UDP-alpha-D-glucuronate,1, Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey).
TPS10_ARATH,O80738,UDP-alpha-D-glucose,20, Arabidopsis thaliana (Mouse-ear cress).
U71D1_ARATH,O82383,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
GYS_NEUCR,O93869,UDP-alpha-D-glucose,3, Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987).
UDB18_MACFA,O97951,UDP-alpha-D-glucuronate,1, Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey).
OTSA_SALTY,P0CL06,UDP-alpha-D-glucose,20, Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720).
UFOG_HORVU,P14726,UDP-alpha-D-glucose,1, Hordeum vulgare (Barley).
UFOG2_MAIZE,P16165,UDP-alpha-D-glucose,1, Zea mays (Maize).
UFOG1_MAIZE,P16166,UDP-alpha-D-glucose,1, Zea mays (Maize).
UFOG3_MAIZE,P16167,UDP-alpha-D-glucose,1, Zea mays (Maize).
WAAB_ECOLI,P27127,UDP-alpha-D-galactose,4, Escherichia coli (strain K12).
SPSA_MAIZE,P31927,UDP-alpha-D-glucose,4, Zea mays (Maize).
UDB13_RABIT,P36512,UDP-alpha-D-glucuronate,1, Oryctolagus cuniculus (Rabbit).
UDB14_RABIT,P36513,UDP-alpha-D-glucuronate,1, Oryctolagus cuniculus (Rabbit).
UD2C1_RABIT,P36514,UDP-alpha-D-glucuronate,1, Oryctolagus cuniculus (Rabbit).
SPSA_BETVU,P49031,UDP-alpha-D-glucose,4, Beta vulgaris (Sugar beet).
ALG11_CAEEL,P53993,GDP-alpha-D-mannose,4, Caenorhabditis elegans.
OTSA_SINFN,P55612,UDP-alpha-D-glucose,20, Sinorhizobium fredii (strain NBRC 101917 / NGR234).
ZOX_PHAVU,P56725,UDP-alpha-D-xylose,1, Phaseolus vulgaris (Kidney bean) (French bean).
MGDG_CUCSA,P93115,UDP-alpha-D-galactose,28, Cucumis sativus (Cucumber).
SGT1_SOLTU,P93789,UDP-alpha-D-glucose,1, Solanum tuberosum (Potato).
PIMB_MYCTO,P9WMZ2,GDP-alpha-D-mannose,4, Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh).
PIMA_MYCTO,P9WMZ4,GDP-alpha-D-mannose,4, Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh).
CRTX_PSEVU,Q01330,UDP-alpha-D-glucose,1, Pseudescherichia vulneris (Escherichia vulneris).
WAAB_SALTY,Q06994,UDP-alpha-D-galactose,4, Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720).
TPS1_KLULA,Q07158,UDP-alpha-D-glucose,20, Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica).
SPSA1_ORYSJ,Q0JGK4,UDP-alpha-D-glucose,4, Oryza sativa subsp. japonica (Rice).
OTSA_ECOL5,Q0TGU0,UDP-alpha-D-glucose,20, Escherichia coli O6:K15:H31 (strain 536 / UPEC).
TPS8_ARATH,Q0WUI9,UDP-alpha-D-glucose,20, Arabidopsis thaliana (Mouse-ear cress).
UGT46_CAEEL,Q10941,UDP-alpha-D-glucuronate,1, Caenorhabditis elegans.
UGT48_CAEEL,Q18081,UDP-alpha-D-glucuronate,1, Caenorhabditis elegans.
OTSA_MYCSS,Q1B321,UDP-alpha-D-glucose,20, Mycobacterium sp. (strain MCS).
UD3A1_BOVIN,Q1LZI1,UDP-alpha-D-glucuronate,1, Bos taurus (Bovine).
OTSA_ECOUT,Q1RAP1,UDP-alpha-D-glucose,20, Escherichia coli (strain UTI89 / UPEC).
UGT47_CAEEL,Q21706,UDP-alpha-D-glucuronate,1, Caenorhabditis elegans.
UGT50_CAEEL,Q22295,UDP-alpha-D-glucuronate,1, Caenorhabditis elegans.
UD16_RABIT,Q28611,UDP-alpha-D-glucuronate,1, Oryctolagus cuniculus (Rabbit).
UD14_RABIT,Q28612,UDP-alpha-D-glucuronate,1, Oryctolagus cuniculus (Rabbit).
OTSA_SODGM,Q2NTK9,UDP-alpha-D-glucose,20, Sodalis glossinidius (strain morsitans).
UGTP_STAAB,Q2YWW6,UDP-alpha-D-glucose,28, Staphylococcus aureus (strain bovine RF122 / ET3-1).
OTSA_SHIDS,Q32H58,UDP-alpha-D-glucose,20, Shigella dysenteriae serotype 1 (strain Sd197).
ALG11_MOUSE,Q3TZM9,GDP-alpha-D-mannose,4, Mus musculus (Mouse).
UD3A1_MOUSE,Q3UP75,UDP-alpha-D-glucuronate,1, Mus musculus (Mouse).
OTSA_SHISS,Q3Z2S4,UDP-alpha-D-glucose,20, Shigella sonnei (strain Ss046).
UFOG1_MANES,Q40284,UDP-alpha-D-glucose,1, Manihot esculenta (Cassava) (Jatropha manihot).
UFOG2_MANES,Q40285,UDP-alpha-D-glucose,1, Manihot esculenta (Cassava) (Jatropha manihot).
UFOG4_MANES,Q40286,UDP-alpha-D-glucose,1, Manihot esculenta (Cassava) (Jatropha manihot).
UFOG5_MANES,Q40287,UDP-alpha-D-glucose,1, Manihot esculenta (Cassava) (Jatropha manihot).
UFOG6_MANES,Q40288,UDP-alpha-D-glucose,1, Manihot esculenta (Cassava) (Jatropha manihot).
UFOG7_MANES,Q40289,UDP-alpha-D-glucose,1, Manihot esculenta (Cassava) (Jatropha manihot).
IABG_MAIZE,Q41819,UDP-alpha-D-glucose,1, Zea mays (Maize).
UFOG_SOLME,Q43641,UDP-alpha-D-glucose,1, Solanum melongena (Eggplant) (Aubergine).
SPSA_SOLTU,Q43845,UDP-alpha-D-glucose,4, Solanum tuberosum (Potato).
SPSA_VICFA,Q43876,UDP-alpha-D-glucose,4, Vicia faba (Broad bean) (Faba vulgaris).
GUMH_KOMXY,Q44571,GDP-alpha-D-mannose,4, Komagataeibacter xylinus (Gluconacetobacter xylinus).
WBDB_ECOLX,Q47594,GDP-alpha-D-mannose,4, Escherichia coli.
WBDC_ECOLX,Q47595,GDP-alpha-D-mannose,4, Escherichia coli.
UGTP_STAS1,Q49WE6,UDP-alpha-D-glucose,28, Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41).
UGTP_STAHJ,Q4L524,UDP-alpha-D-glucose,28, Staphylococcus haemolyticus (strain JCSC1435).
OTSA_MYCLE,Q50167,UDP-alpha-D-glucose,20, Mycobacterium leprae (strain TN).
SPSA5_ORYSJ,Q53JI9,UDP-alpha-D-glucose,4, Oryza sativa subsp. japonica (Rice).
DUSKY_IPOPU,Q53UH5,UDP-alpha-D-glucose,1, Ipomoea purpurea (Common morning glory) (Pharbitis purpurea).
OTSA_SALCH,Q57N70,UDP-alpha-D-glucose,20, Salmonella choleraesuis (strain SC-B67).
UGTP_STAEQ,Q5HQE7,UDP-alpha-D-glucose,28, Staphylococcus epidermidis (strain ATCC 35984 / RP62A).
TPS2_APHAV,Q5K2C1,UDP-alpha-D-glucose,20, Aphelenchus avenae (Mycophagous nematode worm).
TPS1_APHAV,Q5K2C4,UDP-alpha-D-glucose,20, Aphelenchus avenae (Mycophagous nematode worm).
OTSA_SALPA,Q5PMW8,UDP-alpha-D-glucose,20, Salmonella paratyphi A (strain ATCC 9150 / SARB42).
ALG1_PONAB,Q5R7A2,GDP-alpha-D-mannose,33, Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii).
GYS1_PONAB,Q5R9H0,UDP-alpha-D-glucose,3, Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii).
UFOG2_FRAAN,Q5UL10,UDP-alpha-D-glucose,1, Fragaria ananassa (Strawberry) (Fragaria chiloensis x Fragaria virginiana).
UGTP_BACCZ,Q63GD0,UDP-alpha-D-glucose,28, Bacillus cereus (strain ZK / E33L).
UGTP_BACLD,Q65IA4,UDP-alpha-D-glucose,28, Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46).
SPSA3_ORYSJ,Q67WN8,UDP-alpha-D-glucose,4, Oryza sativa subsp. japonica (Rice).
ALG1_DEBHA,Q6BS98,GDP-alpha-D-mannose,33, Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii).
ALG2_DEBHA,Q6BVA4,GDP-alpha-D-mannose,4, Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii).
ALG11_DEBHA,Q6BVB2,GDP-alpha-D-mannose,4, Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii).
ALG1_YARLI,Q6C3K2,GDP-alpha-D-mannose,33, Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica).
ALG2_YARLI,Q6C3V7,GDP-alpha-D-mannose,4, Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica).
ALG11_YARLI,Q6C9T3,GDP-alpha-D-mannose,4, Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica).
ALG11_KLULA,Q6CLD6,GDP-alpha-D-mannose,4, Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica).
ATG26_KLULA,Q6CUV2,UDP-alpha-D-glucose,1, Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica).
ALG1_KLULA,Q6CVU2,GDP-alpha-D-mannose,33, Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica).
ALG2_KLULA,Q6CWQ0,GDP-alpha-D-mannose,4, Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica).
DGDG1_LOTJA,Q6DW74,UDP-alpha-D-galactose,4, Lotus japonicus (Lotus corniculatus var. japonicus).
DGDG2_SOYBN,Q6DW75,UDP-alpha-D-galactose,4, Glycine max (Soybean) (Glycine hispida).
DGDG1_SOYBN,Q6DW76,UDP-alpha-D-galactose,4, Glycine max (Soybean) (Glycine hispida).
ALG1_CANGA,Q6FLZ2,GDP-alpha-D-mannose,33, Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus).
ALG11_CANGA,Q6FWD1,GDP-alpha-D-mannose,4, Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus).
UGTP_STAAS,Q6GAR0,UDP-alpha-D-glucose,28, Staphylococcus aureus (strain MSSA476).
UGTP_STAAR,Q6GI67,UDP-alpha-D-glucose,28, Staphylococcus aureus (strain MRSA252).
UGTP_BACHK,Q6HNU4,UDP-alpha-D-glucose,28, Bacillus thuringiensis subsp. konkukian (strain 97-27).
OTSA_PSESS,Q6JTB2,UDP-alpha-D-glucose,20, Pseudomonas savastanoi (Pseudomonas syringae pv. savastanoi).
UDB31_CANLF,Q6K1J1,UDP-alpha-D-glucuronate,1, Canis lupus familiaris (Dog) (Canis familiaris).
UD2A3_HUMAN,Q6UWM9,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
U74G1_STERE,Q6VAA6,UDP-alpha-D-glucose,1, Stevia rebaudiana (Stevia) (Eupatorium rebaudianum).
U85C2_STERE,Q6VAB0,UDP-alpha-D-glucose,1, Stevia rebaudiana (Stevia) (Eupatorium rebaudianum).
GLT3_CROSA,Q6WFW1,UDP-alpha-D-glucose,1, Crocus sativus (Saffron).
GLT2_CROSA,Q6X1C0,UDP-alpha-D-glucose,1, Crocus sativus (Saffron).
UGTP_BACC1,Q73DZ5,UDP-alpha-D-glucose,28, Bacillus cereus (strain ATCC 10987 / NRS 248).
OTSA_MYCPA,Q743L8,UDP-alpha-D-glucose,20, Mycolicibacterium paratuberculosis (strain ATCC BAA-968 / K-10) (Mycobacterium paratuberculosis).
ALG11_EREGS,Q75B12,GDP-alpha-D-mannose,4, Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii).
ALG1_EREGS,Q75BA5,GDP-alpha-D-mannose,33, Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii).
IH5GT_IRIHO,Q767C8,UDP-alpha-D-glucose,1, Iris hollandica (Dutch iris) (Iris tingitana x Iris xiphium).
UGTP_STAAN,Q7A6D2,UDP-alpha-D-glucose,28, Staphylococcus aureus (strain N315).
GUMK_XANCP,Q7CLR5,UDP-alpha-D-glucuronate,70, Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25).
UGTP_BACCR,Q81IA1,UDP-alpha-D-glucose,28, Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711).
UGTP_BACAN,Q81YW9,UDP-alpha-D-glucose,28, Bacillus anthracis.
UD2A3_MOUSE,Q8BWQ1,UDP-alpha-D-glucuronate,1, Mus musculus (Mouse).
UGTP_STAES,Q8CPR3,UDP-alpha-D-glucose,28, Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200).
AMGDS_STRR6,Q8CWR6,UDP-alpha-D-glucose,4, Streptococcus pneumoniae (strain ATCC BAA-255 / R6).
AGGDS_STRR6,Q8DPV9,UDP-alpha-D-galactose,4, Streptococcus pneumoniae (strain ATCC BAA-255 / R6).
OTSA_ECOL6,Q8FGN6,UDP-alpha-D-glucose,20, Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC).
ANGT_GENTR,Q8H0F2,UDP-alpha-D-glucose,1, Gentiana triflora (Clustered gentian).
UD3A2_MOUSE,Q8JZZ0,UDP-alpha-D-glucuronate,1, Mus musculus (Mouse).
GYS1_MACMU,Q8MJ26,UDP-alpha-D-glucose,3, Macaca mulatta (Rhesus macaque).
UGTP_STAAW,Q8NXC3,UDP-alpha-D-glucose,28, Staphylococcus aureus (strain MW2).
CZOG2_MAIZE,Q8RXA5,UDP-alpha-D-glucose,1, Zea mays (Maize).
TPS1_ENCCU,Q8SSL2,UDP-alpha-D-glucose,20, Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite).
UDB30_MACFA,Q8WN97,UDP-alpha-D-glucuronate,1, Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey).
ALG11_NEUCR,Q8X092,GDP-alpha-D-mannose,4, Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987).
ALG2_NEUCR,Q8X0H8,GDP-alpha-D-mannose,4, Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987).
OTSA_ECO57,Q8XCE7,UDP-alpha-D-glucose,20, Escherichia coli O157:H7.
UFOG_GENTR,Q96493,UDP-alpha-D-glucose,1, Gentiana triflora (Clustered gentian).
TPS1_ZYGRO,Q96WK6,UDP-alpha-D-glucose,20, Zygosaccharomyces rouxii (Candida mogii).
UGTP_STAAM,Q99V75,UDP-alpha-D-glucose,28, Staphylococcus aureus (strain Mu50 / ATCC 700699).
SCGT_TOBAC,Q9AT54,UDP-alpha-D-glucose,1, Nicotiana tabacum (Common tobacco).
UDB33_MACMU,Q9GLD9,UDP-alpha-D-glucuronate,1, Macaca mulatta (Rhesus macaque).
TPS7_ARATH,Q9LMI0,UDP-alpha-D-glucose,20, Arabidopsis thaliana (Mouse-ear cress).
U71B1_ARATH,Q9LSY9,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
UD2A3_CAVPO,Q9R110,UDP-alpha-D-glucuronate,1, Cavia porcellus (Guinea pig).
UDB23_MACFA,Q9TSL6,UDP-alpha-D-glucuronate,1, Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey).
TPSY_SCHPO,Q9UUI7,UDP-alpha-D-glucose,20, Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).
MOK12_SCHPO,Q9UUL4,UDP-alpha-D-glucose,5, Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).
MGGS_THEMA,Q9X0V7,GDP-alpha-D-mannose,4, Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8).
UDB19_MACFA,Q9XT55,UDP-alpha-D-glucuronate,1, Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey).
MOK14_SCHPO,Q9Y704,UDP-alpha-D-glucose,5, Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).
MOK13_SCHPO,Q9Y719,UDP-alpha-D-glucose,5, Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).
5GT_VERHY,Q9ZR25,UDP-alpha-D-glucose,1, Verbena hybrida (Garden vervain) (Verbena hortensis).
5GT2_PERFR,Q9ZR26,UDP-alpha-D-glucose,1, Perilla frutescens (Beefsteak mint) (Perilla ocymoides).
TPS11_ARATH,Q9ZV48,UDP-alpha-D-glucose,20, Arabidopsis thaliana (Mouse-ear cress).
UGT8_CATRO,U3U992,UDP-alpha-D-glucose,1, Catharanthus roseus (Madagascar periwinkle) (Vinca rosea).
NGT_ACTP2,A3N2T3,UDP-alpha-D-glucose,41, Actinobacillus pleuropneumoniae serotype 5b (strain L20).
SPS_THEM4,A6LKE9,UDP-alpha-D-glucose,4, Thermosipho melanesiensis (strain DSM 12029 / CIP 104789 / BI429).
MGGS_PETMO,A9BFS6,GDP-alpha-D-mannose,4, Petrotoga mobilis (strain DSM 10674 / SJ95).
GUMH_XANOP,B2SUK8,GDP-alpha-D-mannose,4, Xanthomonas oryzae pv. oryzae (strain PXO99A).
88F1R_MALDO,D3UAG5,UDP-alpha-D-glucose,1, Malus domestica (Apple) (Pyrus malus).
CRTX_PANAN,P21686,UDP-alpha-D-glucose,1, Pantoea ananas (Erwinia uredovora).
UGT60_CAEEL,P34317,UDP-alpha-D-glucuronate,1, Caenorhabditis elegans.
GLGSY_MYCTO,P9WMY8,UDP-alpha-D-glucose,4, Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh).
TPS1B_ASPNG,Q00217,UDP-alpha-D-glucose,20, Aspergillus niger.
ALG11_XENLA,Q08B22,GDP-alpha-D-mannose,4, Xenopus laevis (African clawed frog).
MOK11_SCHPO,Q09854,UDP-alpha-D-glucose,5, Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).
MGDG3_ORYSJ,Q0DWQ1,UDP-alpha-D-galactose,28, Oryza sativa subsp. japonica (Rice).
UGT58_CAEEL,Q20086,UDP-alpha-D-glucuronate,1, Caenorhabditis elegans.
UGT55_CAEEL,Q22180,UDP-alpha-D-glucuronate,1, Caenorhabditis elegans.
UGT56_CAEEL,Q22181,UDP-alpha-D-glucuronate,1, Caenorhabditis elegans.
GUMH_XANCA,Q56774,GDP-alpha-D-mannose,4, Xanthomonas campestris.
ALG11_PONAB,Q5R7Z6,GDP-alpha-D-mannose,4, Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii).
UD2A3_PONAB,Q5RFJ3,UDP-alpha-D-glucuronate,1, Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii).
CGT_ORYSJ,Q5VMI0,UDP-alpha-D-glucose,1, Oryza sativa subsp. japonica (Rice).
UD3A1_XENLA,Q63ZR6,UDP-alpha-D-glucuronate,1, Xenopus laevis (African clawed frog).
MGDG1_ORYSJ,Q69QJ7,UDP-alpha-D-galactose,28, Oryza sativa subsp. japonica (Rice).
DGDG2_LOTJA,Q6DW73,UDP-alpha-D-galactose,4, Lotus japonicus (Lotus corniculatus var. japonicus).
CZOG_SORBI,Q6JAH0,UDP-alpha-D-glucose,1, Sorghum bicolor (Sorghum) (Sorghum vulgare).
ALG11_XENTR,Q6P312,GDP-alpha-D-mannose,4, Xenopus tropicalis (Western clawed frog) (Silurana tropicalis).
MGDG2_ORYSJ,Q6UTZ2,UDP-alpha-D-galactose,28, Oryza sativa subsp. japonica (Rice).
ALG11_DANRE,Q7ZW24,GDP-alpha-D-mannose,4, Danio rerio (Zebrafish) (Brachydanio rerio).
AOG_PHAAN,Q8W3P8,UDP-alpha-D-glucose,1, Phaseolus angularis (Azuki bean) (Vigna angularis).
UGT3_PLEPL,Q91280,UDP-alpha-D-glucuronate,1, Pleuronectes platessa (European plaice).
HQGT_RAUSE,Q9AR73,UDP-alpha-D-glucose,1, Rauvolfia serpentina (Serpentine wood) (Ophioxylon serpentinum).
TPS2_ARATH,Q9FZ57,UDP-alpha-D-glucose,20, Arabidopsis thaliana (Mouse-ear cress).
MGDG_TOBAC,Q9FZL3,UDP-alpha-D-galactose,28, Nicotiana tabacum (Common tobacco).
